module,feature,test_case,status,notes,priority,response_time_ms,endpoint,method,status_code,timestamp
Auth,Roles,Get available roles,FAIL,Empty roles list,Critical,7.01,/auth/roles,GET,200,2026-04-26T15:45:33.506537
Auth,Register,Register with valid data,PASS,User ID: 22,Critical,1949.77,/auth/register,POST,200,2026-04-26T15:45:35.456449
Auth,Register,Duplicate email/phone handled,PASS,,Critical,4.78,/auth/register,POST,409,2026-04-26T15:45:35.461252
Auth,Login,Login with email+password,PASS,,Critical,238.86,/auth/login,POST,200,2026-04-26T15:45:35.700130
Auth,Login,Invalid credentials rejected,PASS,,Critical,230.08,/auth/login,POST,401,2026-04-26T15:45:35.930263
Auth,Profile,Get current user,PASS,,Critical,4.15,/auth/me,GET,200,2026-04-26T15:45:35.934422
Auth,Token,Refresh access token,FAIL,Status 401,Critical,2.07,/auth/refresh,POST,401,2026-04-26T15:45:35.936501
Auth,Password,Password reset request,PASS,,High,1485.0,/auth/password-reset-request,POST,200,2026-04-26T15:45:37.421529
Auth,Password,Change password,PASS,,High,476.16,/auth/change-password,POST,200,2026-04-26T15:45:37.897713
Auth,OAuth,Google OAuth config,PASS,,Medium,2.24,/auth/google/config,GET,200,2026-04-26T15:45:38.357703
Platform,Stats,Get platform stats,WARNING,Status 404,Medium,2.38,/stats,GET,404,2026-04-26T15:45:38.360101
Platform,Events,List events,PASS,Found 0 events,Critical,2.78,/events,GET,200,2026-04-26T15:45:38.362892
Platform,Venues,List venues/clubs,PASS,Found 0 venues,Critical,2.98,/clubs,GET,200,2026-04-26T15:45:38.365887
Platform,Sports,List leagues,PASS,Found 0 leagues,Medium,3.53,/sports/leagues,GET,200,2026-04-26T15:45:38.369462
Platform,Sports,List fixtures,PASS,,Medium,3.19,/sports/fixtures,GET,200,2026-04-26T15:45:38.372659
Platform,Music,List mixes,PASS,,Low,2.01,/music/mixes,GET,200,2026-04-26T15:45:38.374676
Platform,Recaps,List recaps,PASS,,Low,2.51,/recaps,GET,200,2026-04-26T15:45:38.377189
Platform,Contact,Get contact categories,PASS,,Medium,1.63,/contact/categories,GET,200,2026-04-26T15:45:38.378822
Platform,Contact,Submit contact form,PASS,,Medium,4.53,/contact,POST,200,2026-04-26T15:45:38.383384
User,Tickets,Get my tickets,PASS,,Critical,7.23,/tickets/user,GET,200,2026-04-26T15:45:38.390619
User,Orders,Get my orders,PASS,,Critical,6.39,/orders/user,GET,200,2026-04-26T15:45:38.397020
User,Events,Get my events,PASS,,High,3.15,/events/me,GET,200,2026-04-26T15:45:38.400175
User,Notifications,Get notifications,PASS,,Medium,5.01,/notifications,GET,200,2026-04-26T15:45:38.405189
User,Notifications,Get notification count,PASS,,Medium,5.3,/notifications/count,GET,200,2026-04-26T15:45:38.410528
User,Settings,Get user settings,PASS,,Medium,3.37,/users/me/settings,GET,200,2026-04-26T15:45:38.413908
User,Settings,Update user settings,PASS,,Medium,3.54,/users/me/settings,PATCH,200,2026-04-26T15:45:38.417458
User,Favorites,Get favorite events,PASS,,Low,3.32,/favorites/events,GET,200,2026-04-26T15:45:38.420789
User,Cart,Sync cart,PASS,,Medium,2.92,/cart/sync,POST,200,2026-04-26T15:45:38.423714
Admin,Auth,Admin login,FAIL,"Status 401: {""detail"":""Invalid credentials""}",Critical,3.69,/admin/auth/login,POST,401,2026-04-26T15:45:38.427415
Organizer,Auth,Register organizer,PASS,,Critical,1694.71,/auth/register,POST,200,2026-04-26T15:45:40.122193
Organizer,Dashboard,Get organizer dashboard,PASS,,Critical,11.57,/organizer/dashboard,GET,200,2026-04-26T15:45:40.133783
Organizer,Dashboard,Get dashboard stats,PASS,,Critical,8.13,/organizer/dashboard/stats,GET,200,2026-04-26T15:45:40.141929
Organizer,Events,List organizer events,PASS,,Critical,8.24,/organizer/events,GET,200,2026-04-26T15:45:40.150179
Organizer,Events,Create event with ticket tiers,FAIL,"Status 422: {""detail"":[{""type"":""missing"",""loc"":[""query"",""title""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""}]}",Critical,4.61,/organizer/events,POST,422,2026-04-26T15:45:40.154842
Organizer,Sales,Get sales data,PASS,,Critical,6.43,/organizer/sales,GET,200,2026-04-26T15:45:40.161289
Organizer,Payouts,Get payouts,PASS,,High,4.37,/organizer/payouts,GET,200,2026-04-26T15:45:40.165673
Organizer,Payouts,Request payout,FAIL,"Status 422: {""detail"":[{""type"":""missing"",""loc"":[""query"",""amount""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""},{""type"":""missing"",""loc"":[""query"",""payment_method""],""msg"":""F",High,3.62,/organizer/payouts/request,POST,422,2026-04-26T15:45:40.169305
Venue,Auth,Register venue owner,PASS,,Critical,2083.46,/auth/register,POST,200,2026-04-26T15:45:42.252829
